                           method            split  ...     few_acc        ece
0       balanced_softmax_resnet32            train  ...   97.576097   7.966882
1       balanced_softmax_resnet32    balanced_test  ...   27.266667  22.406308
2       balanced_softmax_resnet32  imbalanced_test  ...   28.888889  15.944197
3                     ce_resnet32            train  ...   86.065089   5.055158
4                     ce_resnet32    balanced_test  ...    9.633333  32.566230
5                     ce_resnet32  imbalanced_test  ...    7.222222  16.235218
6   class_balanced_focal_resnet32            train  ...  100.000000  11.506731
7   class_balanced_focal_resnet32    balanced_test  ...   19.133333  13.386144
8   class_balanced_focal_resnet32  imbalanced_test  ...   15.555556  19.959537
9               HOG+PCA+LinearSVM            train  ...   94.579020  58.620152
10              HOG+PCA+LinearSVM    balanced_test  ...    1.633333  87.175955
11              HOG+PCA+LinearSVM  imbalanced_test  ...    0.000000  79.408981
12              ldam_drw_resnet32            train  ...    0.000000  26.344335
13              ldam_drw_resnet32    balanced_test  ...    0.000000  28.239144
14              ldam_drw_resnet32  imbalanced_test  ...    0.000000  26.329712
15   ldam_drw_resnet32_s0_5_short            train  ...   17.441993  10.992355
16   ldam_drw_resnet32_s0_5_short    balanced_test  ...    9.200000  36.631115
17   ldam_drw_resnet32_s0_5_short  imbalanced_test  ...   10.555556  24.152257
18           ldam_drw_resnet32_s1            train  ...   99.722222   5.056119
19           ldam_drw_resnet32_s1    balanced_test  ...   19.866667  28.728024
20           ldam_drw_resnet32_s1  imbalanced_test  ...   17.222222  16.152564
21    ldam_drw_resnet32_s10_short            train  ...    0.000000   0.659471
22    ldam_drw_resnet32_s10_short    balanced_test  ...    0.000000   0.424053
23    ldam_drw_resnet32_s10_short  imbalanced_test  ...    0.000000   0.687631
24     ldam_drw_resnet32_s1_short            train  ...   27.322011  10.823458
25     ldam_drw_resnet32_s1_short    balanced_test  ...   10.733333  12.973197
26     ldam_drw_resnet32_s1_short  imbalanced_test  ...   15.000000   4.291412
27     ldam_drw_resnet32_s2_short            train  ...   31.328935  37.014685
28     ldam_drw_resnet32_s2_short    balanced_test  ...   12.400000  12.115567
29     ldam_drw_resnet32_s2_short  imbalanced_test  ...   13.888889  22.211588
30    ldam_drw_resnet32_s30_short            train  ...    0.000000  20.511443
31    ldam_drw_resnet32_s30_short    balanced_test  ...    0.000000  21.232742
32    ldam_drw_resnet32_s30_short  imbalanced_test  ...    0.000000  20.573272
33     ldam_drw_resnet32_s5_short            train  ...    0.208333   7.928469
34     ldam_drw_resnet32_s5_short    balanced_test  ...    0.033333   2.911118
35     ldam_drw_resnet32_s5_short  imbalanced_test  ...    0.000000   8.170613
36        logit_adjusted_resnet32            train  ...   97.576097   7.966882
37        logit_adjusted_resnet32    balanced_test  ...   27.266667  22.406308
38        logit_adjusted_resnet32  imbalanced_test  ...   28.888889  15.944197

[39 rows x 16 columns]
