class_id,train_count,imbalanced_test_count,group
0,500,100,many
1,500,100,many
2,500,100,many
3,500,100,many
4,500,100,many
5,500,100,many
6,500,100,many
7,500,100,many
8,500,100,many
9,500,100,many
10,500,100,many
11,500,100,many
12,500,100,many
13,500,100,many
14,500,100,many
15,500,100,many
16,500,100,many
17,500,100,many
18,500,100,many
19,500,100,many
20,500,100,many
21,500,100,many
22,500,100,many
23,500,100,many
24,500,100,many
25,500,100,many
26,500,100,many
27,500,100,many
28,500,100,many
29,500,100,many
30,500,100,many
31,500,100,many
32,500,100,many
33,500,100,many
34,500,100,many
35,500,100,many
36,500,100,many
37,500,100,many
38,500,100,many
39,500,100,many
40,500,100,many
41,500,100,many
42,500,100,many
43,500,100,many
44,500,100,many
45,500,100,many
46,500,100,many
47,500,100,many
48,500,100,many
49,500,100,many
50,5,1,few
51,5,1,few
52,5,1,few
53,5,1,few
54,5,1,few
55,5,1,few
56,5,1,few
57,5,1,few
58,5,1,few
59,5,1,few
60,5,1,few
61,5,1,few
62,5,1,few
63,5,1,few
64,5,1,few
65,5,1,few
66,5,1,few
67,5,1,few
68,5,1,few
69,5,1,few
70,5,1,few
71,5,1,few
72,5,1,few
73,5,1,few
74,5,1,few
75,5,1,few
76,5,1,few
77,5,1,few
78,5,1,few
79,5,1,few
80,5,1,few
81,5,1,few
82,5,1,few
83,5,1,few
84,5,1,few
85,5,1,few
86,5,1,few
87,5,1,few
88,5,1,few
89,5,1,few
90,5,1,few
91,5,1,few
92,5,1,few
93,5,1,few
94,5,1,few
95,5,1,few
96,5,1,few
97,5,1,few
98,5,1,few
99,5,1,few
