class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.954
1,aquarium_fish,477,477,many,0.9622641509433962
2,baby,455,455,many,0.8879120879120879
3,bear,434,434,many,0.9009216589861752
4,beaver,415,415,many,0.8554216867469879
5,bed,396,396,many,0.9646464646464646
6,bee,378,378,many,0.9576719576719577
7,beetle,361,361,many,0.9390581717451524
8,bicycle,344,344,many,0.9593023255813954
9,bottle,328,328,many,0.9603658536585366
10,bowl,314,314,many,0.9299363057324841
11,boy,299,299,many,0.9096989966555183
12,bridge,286,286,many,0.9230769230769231
13,bus,273,273,many,0.9230769230769231
14,butterfly,260,260,many,0.9692307692307692
15,camel,248,248,many,0.967741935483871
16,can,237,237,many,0.9620253164556962
17,castle,226,226,many,0.9690265486725663
18,caterpillar,216,216,many,0.9490740740740741
19,cattle,206,206,many,0.9514563106796117
20,chair,197,197,many,0.9796954314720813
21,chimpanzee,188,188,many,0.973404255319149
22,clock,179,179,many,0.9497206703910615
23,cloud,171,171,many,0.9239766081871345
24,cockroach,163,163,many,0.9693251533742331
25,couch,156,156,many,0.9294871794871795
26,crab,149,149,many,0.8859060402684564
27,crocodile,142,142,many,0.9295774647887324
28,cup,135,135,many,0.9777777777777777
29,dinosaur,129,129,many,0.9302325581395349
30,dolphin,123,123,many,0.9349593495934959
31,elephant,118,118,many,0.9830508474576272
32,flatfish,112,112,many,0.9285714285714286
33,forest,107,107,many,0.9252336448598131
34,fox,102,102,many,0.9215686274509803
35,girl,98,98,medium,0.9489795918367347
36,hamster,93,93,medium,0.946236559139785
37,house,89,89,medium,0.9775280898876404
38,kangaroo,85,85,medium,0.9411764705882353
39,keyboard,81,81,medium,1.0
40,lamp,77,77,medium,0.9090909090909091
41,lawn_mower,74,74,medium,0.9459459459459459
42,leopard,70,70,medium,0.9571428571428572
43,lion,67,67,medium,0.9701492537313433
44,lizard,64,64,medium,0.890625
45,lobster,61,61,medium,1.0
46,man,58,58,medium,0.9482758620689655
47,maple_tree,56,56,medium,0.8928571428571429
48,motorcycle,53,53,medium,1.0
49,mountain,51,51,medium,0.9803921568627451
50,mouse,48,48,medium,0.9375
51,mushroom,46,46,medium,0.9565217391304348
52,oak_tree,44,44,medium,0.9772727272727273
53,orange,42,42,medium,0.9761904761904762
54,orchid,40,40,medium,1.0
55,otter,38,38,medium,0.9473684210526315
56,palm_tree,36,36,medium,1.0
57,pear,35,35,medium,1.0
58,pickup_truck,33,33,medium,1.0
59,pine_tree,32,32,medium,1.0
60,plain,30,30,medium,0.9666666666666667
61,plate,29,29,medium,1.0
62,poppy,27,27,medium,1.0
63,porcupine,26,26,medium,0.8846153846153846
64,possum,25,25,medium,0.96
65,rabbit,24,24,medium,0.875
66,raccoon,23,23,medium,1.0
67,ray,22,22,medium,1.0
68,road,21,21,medium,0.9523809523809523
69,rocket,20,20,medium,0.95
70,rose,19,19,few,1.0
71,sea,18,18,few,1.0
72,seal,17,17,few,0.8823529411764706
73,shark,16,16,few,1.0
74,shrew,15,15,few,0.8666666666666667
75,skunk,15,15,few,1.0
76,skyscraper,14,14,few,1.0
77,snail,13,13,few,1.0
78,snake,13,13,few,1.0
79,spider,12,12,few,0.9166666666666666
80,squirrel,12,12,few,0.9166666666666666
81,streetcar,11,11,few,1.0
82,sunflower,11,11,few,1.0
83,sweet_pepper,10,10,few,1.0
84,table,10,10,few,1.0
85,tank,9,9,few,1.0
86,telephone,9,9,few,1.0
87,television,8,8,few,1.0
88,tiger,8,8,few,1.0
89,tractor,7,7,few,0.8571428571428571
90,train,7,7,few,1.0
91,trout,7,7,few,1.0
92,tulip,6,6,few,1.0
93,turtle,6,6,few,0.8333333333333334
94,wardrobe,6,6,few,1.0
95,whale,6,6,few,1.0
96,willow_tree,5,5,few,1.0
97,wolf,5,5,few,1.0
98,woman,5,5,few,1.0
99,worm,5,5,few,1.0
