class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.994
1,aquarium_fish,477,477,many,0.9916142557651991
2,baby,455,455,many,0.9802197802197802
3,bear,434,434,many,0.9861751152073732
4,beaver,415,415,many,0.9686746987951808
5,bed,396,396,many,0.9949494949494949
6,bee,378,378,many,0.9947089947089947
7,beetle,361,361,many,0.9778393351800554
8,bicycle,344,344,many,0.9883720930232558
9,bottle,328,328,many,0.9786585365853658
10,bowl,314,314,many,0.9872611464968153
11,boy,299,299,many,0.9698996655518395
12,bridge,286,286,many,0.9965034965034965
13,bus,273,273,many,0.9926739926739927
14,butterfly,260,260,many,0.9846153846153847
15,camel,248,248,many,0.9879032258064516
16,can,237,237,many,0.9789029535864979
17,castle,226,226,many,0.995575221238938
18,caterpillar,216,216,many,0.9861111111111112
19,cattle,206,206,many,0.970873786407767
20,chair,197,197,many,1.0
21,chimpanzee,188,188,many,0.9840425531914894
22,clock,179,179,many,0.994413407821229
23,cloud,171,171,many,0.9941520467836257
24,cockroach,163,163,many,0.9754601226993865
25,couch,156,156,many,0.9807692307692307
26,crab,149,149,many,0.9865771812080537
27,crocodile,142,142,many,0.9788732394366197
28,cup,135,135,many,0.9851851851851852
29,dinosaur,129,129,many,0.9612403100775194
30,dolphin,123,123,many,0.967479674796748
31,elephant,118,118,many,0.9745762711864406
32,flatfish,112,112,many,0.9821428571428571
33,forest,107,107,many,0.9345794392523364
34,fox,102,102,many,0.9705882352941176
35,girl,98,98,medium,0.9387755102040817
36,hamster,93,93,medium,0.989247311827957
37,house,89,89,medium,0.9775280898876404
38,kangaroo,85,85,medium,0.9647058823529412
39,keyboard,81,81,medium,1.0
40,lamp,77,77,medium,0.987012987012987
41,lawn_mower,74,74,medium,0.9864864864864865
42,leopard,70,70,medium,0.9714285714285714
43,lion,67,67,medium,0.9850746268656716
44,lizard,64,64,medium,0.90625
45,lobster,61,61,medium,0.9180327868852459
46,man,58,58,medium,0.9655172413793104
47,maple_tree,56,56,medium,0.9285714285714286
48,motorcycle,53,53,medium,0.9433962264150944
49,mountain,51,51,medium,1.0
50,mouse,48,48,medium,0.9375
51,mushroom,46,46,medium,0.9347826086956522
52,oak_tree,44,44,medium,0.9318181818181818
53,orange,42,42,medium,0.9761904761904762
54,orchid,40,40,medium,0.975
55,otter,38,38,medium,0.9473684210526315
56,palm_tree,36,36,medium,1.0
57,pear,35,35,medium,0.9714285714285714
58,pickup_truck,33,33,medium,0.9696969696969697
59,pine_tree,32,32,medium,0.875
60,plain,30,30,medium,1.0
61,plate,29,29,medium,0.9310344827586207
62,poppy,27,27,medium,1.0
63,porcupine,26,26,medium,0.8461538461538461
64,possum,25,25,medium,0.88
65,rabbit,24,24,medium,0.9166666666666666
66,raccoon,23,23,medium,1.0
67,ray,22,22,medium,0.8636363636363636
68,road,21,21,medium,0.9523809523809523
69,rocket,20,20,medium,1.0
70,rose,19,19,few,0.9473684210526315
71,sea,18,18,few,0.8888888888888888
72,seal,17,17,few,0.7647058823529411
73,shark,16,16,few,0.6875
74,shrew,15,15,few,0.7333333333333333
75,skunk,15,15,few,1.0
76,skyscraper,14,14,few,1.0
77,snail,13,13,few,0.8461538461538461
78,snake,13,13,few,0.9230769230769231
79,spider,12,12,few,1.0
80,squirrel,12,12,few,0.8333333333333334
81,streetcar,11,11,few,0.9090909090909091
82,sunflower,11,11,few,0.9090909090909091
83,sweet_pepper,10,10,few,1.0
84,table,10,10,few,0.9
85,tank,9,9,few,1.0
86,telephone,9,9,few,0.8888888888888888
87,television,8,8,few,0.875
88,tiger,8,8,few,0.875
89,tractor,7,7,few,1.0
90,train,7,7,few,0.8571428571428571
91,trout,7,7,few,0.7142857142857143
92,tulip,6,6,few,0.8333333333333334
93,turtle,6,6,few,1.0
94,wardrobe,6,6,few,1.0
95,whale,6,6,few,0.8333333333333334
96,willow_tree,5,5,few,0.2
97,wolf,5,5,few,0.6
98,woman,5,5,few,0.8
99,worm,5,5,few,1.0
