class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.492
1,aquarium_fish,477,477,many,0.33752620545073375
2,baby,455,455,many,0.12747252747252746
3,bear,434,434,many,0.1382488479262673
4,beaver,415,415,many,0.20963855421686747
5,bed,396,396,many,0.494949494949495
6,bee,378,378,many,0.24074074074074073
7,beetle,361,361,many,0.18005540166204986
8,bicycle,344,344,many,0.5552325581395349
9,bottle,328,328,many,0.5975609756097561
10,bowl,314,314,many,0.34394904458598724
11,boy,299,299,many,0.17391304347826086
12,bridge,286,286,many,0.3356643356643357
13,bus,273,273,many,0.42857142857142855
14,butterfly,260,260,many,0.28076923076923077
15,camel,248,248,many,0.2620967741935484
16,can,237,237,many,0.45147679324894513
17,castle,226,226,many,0.37168141592920356
18,caterpillar,216,216,many,0.24537037037037038
19,cattle,206,206,many,0.3106796116504854
20,chair,197,197,many,0.7614213197969543
21,chimpanzee,188,188,many,0.26063829787234044
22,clock,179,179,many,0.48044692737430167
23,cloud,171,171,many,0.28654970760233917
24,cockroach,163,163,many,0.4294478527607362
25,couch,156,156,many,0.3717948717948718
26,crab,149,149,many,0.40939597315436244
27,crocodile,142,142,many,0.4084507042253521
28,cup,135,135,many,0.6370370370370371
29,dinosaur,129,129,many,0.40310077519379844
30,dolphin,123,123,many,0.3902439024390244
31,elephant,118,118,many,0.3983050847457627
32,flatfish,112,112,many,0.30357142857142855
33,forest,107,107,many,0.45794392523364486
34,fox,102,102,many,0.3235294117647059
35,girl,98,98,medium,0.3877551020408163
36,hamster,93,93,medium,0.5806451612903226
37,house,89,89,medium,0.5056179775280899
38,kangaroo,85,85,medium,0.5411764705882353
39,keyboard,81,81,medium,0.4567901234567901
40,lamp,77,77,medium,0.5064935064935064
41,lawn_mower,74,74,medium,0.7027027027027027
42,leopard,70,70,medium,0.44285714285714284
43,lion,67,67,medium,0.417910447761194
44,lizard,64,64,medium,0.421875
45,lobster,61,61,medium,0.3770491803278688
46,man,58,58,medium,0.4482758620689655
47,maple_tree,56,56,medium,0.7142857142857143
48,motorcycle,53,53,medium,0.8113207547169812
49,mountain,51,51,medium,0.7254901960784313
50,mouse,48,48,medium,0.6458333333333334
51,mushroom,46,46,medium,0.6521739130434783
52,oak_tree,44,44,medium,0.7727272727272727
53,orange,42,42,medium,0.6190476190476191
54,orchid,40,40,medium,0.525
55,otter,38,38,medium,0.5789473684210527
56,palm_tree,36,36,medium,0.75
57,pear,35,35,medium,0.8857142857142857
58,pickup_truck,33,33,medium,0.9393939393939394
59,pine_tree,32,32,medium,0.8125
60,plain,30,30,medium,0.8
61,plate,29,29,medium,0.8620689655172413
62,poppy,27,27,medium,0.7777777777777778
63,porcupine,26,26,medium,0.8461538461538461
64,possum,25,25,medium,0.96
65,rabbit,24,24,medium,0.875
66,raccoon,23,23,medium,0.9565217391304348
67,ray,22,22,medium,0.8636363636363636
68,road,21,21,medium,0.9523809523809523
69,rocket,20,20,medium,1.0
70,rose,19,19,few,0.9473684210526315
71,sea,18,18,few,0.7777777777777778
72,seal,17,17,few,1.0
73,shark,16,16,few,1.0
74,shrew,15,15,few,1.0
75,skunk,15,15,few,1.0
76,skyscraper,14,14,few,0.9285714285714286
77,snail,13,13,few,0.9230769230769231
78,snake,13,13,few,0.8461538461538461
79,spider,12,12,few,0.9166666666666666
80,squirrel,12,12,few,0.9166666666666666
81,streetcar,11,11,few,1.0
82,sunflower,11,11,few,0.9090909090909091
83,sweet_pepper,10,10,few,1.0
84,table,10,10,few,0.9
85,tank,9,9,few,1.0
86,telephone,9,9,few,1.0
87,television,8,8,few,1.0
88,tiger,8,8,few,0.875
89,tractor,7,7,few,1.0
90,train,7,7,few,1.0
91,trout,7,7,few,1.0
92,tulip,6,6,few,1.0
93,turtle,6,6,few,0.8333333333333334
94,wardrobe,6,6,few,1.0
95,whale,6,6,few,1.0
96,willow_tree,5,5,few,0.6
97,wolf,5,5,few,1.0
98,woman,5,5,few,1.0
99,worm,5,5,few,1.0
