class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.904
1,aquarium_fish,477,477,many,0.7819706498951782
2,baby,455,455,many,0.5384615384615384
3,bear,434,434,many,0.41935483870967744
4,beaver,415,415,many,0.4578313253012048
5,bed,396,396,many,0.7272727272727273
6,bee,378,378,many,0.6772486772486772
7,beetle,361,361,many,0.6454293628808865
8,bicycle,344,344,many,0.7209302325581395
9,bottle,328,328,many,0.7408536585365854
10,bowl,314,314,many,0.4968152866242038
11,boy,299,299,many,0.411371237458194
12,bridge,286,286,many,0.6713286713286714
13,bus,273,273,many,0.7912087912087912
14,butterfly,260,260,many,0.3192307692307692
15,camel,248,248,many,0.6370967741935484
16,can,237,237,many,0.5611814345991561
17,castle,226,226,many,0.8539823008849557
18,caterpillar,216,216,many,0.6620370370370371
19,cattle,206,206,many,0.3786407766990291
20,chair,197,197,many,0.868020304568528
21,chimpanzee,188,188,many,0.675531914893617
22,clock,179,179,many,0.5754189944134078
23,cloud,171,171,many,0.6900584795321637
24,cockroach,163,163,many,0.7668711656441718
25,couch,156,156,many,0.2564102564102564
26,crab,149,149,many,0.3422818791946309
27,crocodile,142,142,many,0.5704225352112676
28,cup,135,135,many,0.6666666666666666
29,dinosaur,129,129,many,0.4418604651162791
30,dolphin,123,123,many,0.8130081300813008
31,elephant,118,118,many,0.5508474576271186
32,flatfish,112,112,many,0.2857142857142857
33,forest,107,107,many,0.6822429906542056
34,fox,102,102,many,0.3627450980392157
35,girl,98,98,medium,0.46938775510204084
36,hamster,93,93,medium,0.43010752688172044
37,house,89,89,medium,0.48314606741573035
38,kangaroo,85,85,medium,0.23529411764705882
39,keyboard,81,81,medium,0.4074074074074074
40,lamp,77,77,medium,0.36363636363636365
41,lawn_mower,74,74,medium,0.7027027027027027
42,leopard,70,70,medium,0.4142857142857143
43,lion,67,67,medium,0.5373134328358209
44,lizard,64,64,medium,0.140625
45,lobster,61,61,medium,0.14754098360655737
46,man,58,58,medium,0.1724137931034483
47,maple_tree,56,56,medium,0.6071428571428571
48,motorcycle,53,53,medium,0.5283018867924528
49,mountain,51,51,medium,0.5490196078431373
50,mouse,48,48,medium,0.10416666666666667
51,mushroom,46,46,medium,0.06521739130434782
52,oak_tree,44,44,medium,0.8636363636363636
53,orange,42,42,medium,0.7857142857142857
54,orchid,40,40,medium,0.375
55,otter,38,38,medium,0.0
56,palm_tree,36,36,medium,0.3611111111111111
57,pear,35,35,medium,0.4
58,pickup_truck,33,33,medium,0.24242424242424243
59,pine_tree,32,32,medium,0.25
60,plain,30,30,medium,0.7
61,plate,29,29,medium,0.4482758620689655
62,poppy,27,27,medium,0.6296296296296297
63,porcupine,26,26,medium,0.038461538461538464
64,possum,25,25,medium,0.04
65,rabbit,24,24,medium,0.0
66,raccoon,23,23,medium,0.043478260869565216
67,ray,22,22,medium,0.13636363636363635
68,road,21,21,medium,0.38095238095238093
69,rocket,20,20,medium,0.15
70,rose,19,19,few,0.2631578947368421
71,sea,18,18,few,0.6111111111111112
72,seal,17,17,few,0.0
73,shark,16,16,few,0.125
74,shrew,15,15,few,0.0
75,skunk,15,15,few,0.13333333333333333
76,skyscraper,14,14,few,0.5
77,snail,13,13,few,0.0
78,snake,13,13,few,0.0
79,spider,12,12,few,0.0
80,squirrel,12,12,few,0.0
81,streetcar,11,11,few,0.0
82,sunflower,11,11,few,0.18181818181818182
83,sweet_pepper,10,10,few,0.0
84,table,10,10,few,0.0
85,tank,9,9,few,0.0
86,telephone,9,9,few,0.1111111111111111
87,television,8,8,few,0.0
88,tiger,8,8,few,0.0
89,tractor,7,7,few,0.0
90,train,7,7,few,0.0
91,trout,7,7,few,0.0
92,tulip,6,6,few,0.0
93,turtle,6,6,few,0.0
94,wardrobe,6,6,few,0.6666666666666666
95,whale,6,6,few,0.0
96,willow_tree,5,5,few,0.0
97,wolf,5,5,few,0.0
98,woman,5,5,few,0.0
99,worm,5,5,few,0.0
