class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.928
1,aquarium_fish,477,477,many,0.8385744234800838
2,baby,455,455,many,0.6725274725274726
3,bear,434,434,many,0.5829493087557603
4,beaver,415,415,many,0.5807228915662651
5,bed,396,396,many,0.7929292929292929
6,bee,378,378,many,0.701058201058201
7,beetle,361,361,many,0.6371191135734072
8,bicycle,344,344,many,0.7761627906976745
9,bottle,328,328,many,0.8048780487804879
10,bowl,314,314,many,0.5859872611464968
11,boy,299,299,many,0.44481605351170567
12,bridge,286,286,many,0.7377622377622378
13,bus,273,273,many,0.7216117216117216
14,butterfly,260,260,many,0.6461538461538462
15,camel,248,248,many,0.6451612903225806
16,can,237,237,many,0.6751054852320675
17,castle,226,226,many,0.8495575221238938
18,caterpillar,216,216,many,0.6666666666666666
19,cattle,206,206,many,0.5339805825242718
20,chair,197,197,many,0.9086294416243654
21,chimpanzee,188,188,many,0.8085106382978723
22,clock,179,179,many,0.6759776536312849
23,cloud,171,171,many,0.7719298245614035
24,cockroach,163,163,many,0.8159509202453987
25,couch,156,156,many,0.44871794871794873
26,crab,149,149,many,0.5302013422818792
27,crocodile,142,142,many,0.5985915492957746
28,cup,135,135,many,0.7777777777777778
29,dinosaur,129,129,many,0.46511627906976744
30,dolphin,123,123,many,0.7804878048780488
31,elephant,118,118,many,0.6440677966101694
32,flatfish,112,112,many,0.5535714285714286
33,forest,107,107,many,0.6915887850467289
34,fox,102,102,many,0.5294117647058824
35,girl,98,98,medium,0.5
36,hamster,93,93,medium,0.6881720430107527
37,house,89,89,medium,0.6292134831460674
38,kangaroo,85,85,medium,0.4117647058823529
39,keyboard,81,81,medium,0.654320987654321
40,lamp,77,77,medium,0.45454545454545453
41,lawn_mower,74,74,medium,0.8513513513513513
42,leopard,70,70,medium,0.5
43,lion,67,67,medium,0.6716417910447762
44,lizard,64,64,medium,0.359375
45,lobster,61,61,medium,0.21311475409836064
46,man,58,58,medium,0.1206896551724138
47,maple_tree,56,56,medium,0.7321428571428571
48,motorcycle,53,53,medium,0.7358490566037735
49,mountain,51,51,medium,0.6666666666666666
50,mouse,48,48,medium,0.14583333333333334
51,mushroom,46,46,medium,0.10869565217391304
52,oak_tree,44,44,medium,0.9318181818181818
53,orange,42,42,medium,0.8571428571428571
54,orchid,40,40,medium,0.65
55,otter,38,38,medium,0.02631578947368421
56,palm_tree,36,36,medium,0.5
57,pear,35,35,medium,0.6
58,pickup_truck,33,33,medium,0.8181818181818182
59,pine_tree,32,32,medium,0.40625
60,plain,30,30,medium,0.8666666666666667
61,plate,29,29,medium,0.3793103448275862
62,poppy,27,27,medium,0.5555555555555556
63,porcupine,26,26,medium,0.038461538461538464
64,possum,25,25,medium,0.12
65,rabbit,24,24,medium,0.0
66,raccoon,23,23,medium,0.0
67,ray,22,22,medium,0.5
68,road,21,21,medium,0.2857142857142857
69,rocket,20,20,medium,0.6
70,rose,19,19,few,0.47368421052631576
71,sea,18,18,few,0.7222222222222222
72,seal,17,17,few,0.058823529411764705
73,shark,16,16,few,0.3125
74,shrew,15,15,few,0.0
75,skunk,15,15,few,0.4666666666666667
76,skyscraper,14,14,few,0.5714285714285714
77,snail,13,13,few,0.0
78,snake,13,13,few,0.0
79,spider,12,12,few,0.08333333333333333
80,squirrel,12,12,few,0.0
81,streetcar,11,11,few,0.0
82,sunflower,11,11,few,0.7272727272727273
83,sweet_pepper,10,10,few,0.3
84,table,10,10,few,0.1
85,tank,9,9,few,0.2222222222222222
86,telephone,9,9,few,0.1111111111111111
87,television,8,8,few,0.25
88,tiger,8,8,few,0.0
89,tractor,7,7,few,0.0
90,train,7,7,few,0.0
91,trout,7,7,few,0.0
92,tulip,6,6,few,0.3333333333333333
93,turtle,6,6,few,0.0
94,wardrobe,6,6,few,0.5
95,whale,6,6,few,0.0
96,willow_tree,5,5,few,0.0
97,wolf,5,5,few,0.0
98,woman,5,5,few,0.0
99,worm,5,5,few,0.0
