class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.984
1,aquarium_fish,477,477,many,0.9769392033542977
2,baby,455,455,many,0.9362637362637363
3,bear,434,434,many,0.9585253456221198
4,beaver,415,415,many,0.9373493975903614
5,bed,396,396,many,0.9671717171717171
6,bee,378,378,many,0.9814814814814815
7,beetle,361,361,many,0.9556786703601108
8,bicycle,344,344,many,0.9767441860465116
9,bottle,328,328,many,0.9878048780487805
10,bowl,314,314,many,0.9617834394904459
11,boy,299,299,many,0.9464882943143813
12,bridge,286,286,many,0.972027972027972
13,bus,273,273,many,0.9523809523809523
14,butterfly,260,260,many,0.9769230769230769
15,camel,248,248,many,0.9717741935483871
16,can,237,237,many,0.9831223628691983
17,castle,226,226,many,0.9867256637168141
18,caterpillar,216,216,many,0.9490740740740741
19,cattle,206,206,many,0.9466019417475728
20,chair,197,197,many,0.9796954314720813
21,chimpanzee,188,188,many,0.9680851063829787
22,clock,179,179,many,0.9888268156424581
23,cloud,171,171,many,0.9473684210526315
24,cockroach,163,163,many,0.9938650306748467
25,couch,156,156,many,0.9807692307692307
26,crab,149,149,many,0.9798657718120806
27,crocodile,142,142,many,0.9647887323943662
28,cup,135,135,many,0.9925925925925926
29,dinosaur,129,129,many,0.937984496124031
30,dolphin,123,123,many,0.959349593495935
31,elephant,118,118,many,1.0
32,flatfish,112,112,many,0.9732142857142857
33,forest,107,107,many,0.9719626168224299
34,fox,102,102,many,0.9705882352941176
35,girl,98,98,medium,0.9591836734693877
36,hamster,93,93,medium,0.9354838709677419
37,house,89,89,medium,0.9775280898876404
38,kangaroo,85,85,medium,0.9411764705882353
39,keyboard,81,81,medium,0.9876543209876543
40,lamp,77,77,medium,0.987012987012987
41,lawn_mower,74,74,medium,1.0
42,leopard,70,70,medium,1.0
43,lion,67,67,medium,0.9850746268656716
44,lizard,64,64,medium,0.984375
45,lobster,61,61,medium,0.9508196721311475
46,man,58,58,medium,0.9827586206896551
47,maple_tree,56,56,medium,0.9642857142857143
48,motorcycle,53,53,medium,1.0
49,mountain,51,51,medium,0.9803921568627451
50,mouse,48,48,medium,1.0
51,mushroom,46,46,medium,1.0
52,oak_tree,44,44,medium,0.9772727272727273
53,orange,42,42,medium,1.0
54,orchid,40,40,medium,0.975
55,otter,38,38,medium,0.9473684210526315
56,palm_tree,36,36,medium,1.0
57,pear,35,35,medium,1.0
58,pickup_truck,33,33,medium,1.0
59,pine_tree,32,32,medium,0.90625
60,plain,30,30,medium,0.9666666666666667
61,plate,29,29,medium,1.0
62,poppy,27,27,medium,1.0
63,porcupine,26,26,medium,0.9615384615384616
64,possum,25,25,medium,1.0
65,rabbit,24,24,medium,1.0
66,raccoon,23,23,medium,0.9565217391304348
67,ray,22,22,medium,1.0
68,road,21,21,medium,1.0
69,rocket,20,20,medium,0.95
70,rose,19,19,few,1.0
71,sea,18,18,few,1.0
72,seal,17,17,few,1.0
73,shark,16,16,few,1.0
74,shrew,15,15,few,1.0
75,skunk,15,15,few,1.0
76,skyscraper,14,14,few,1.0
77,snail,13,13,few,1.0
78,snake,13,13,few,1.0
79,spider,12,12,few,0.9166666666666666
80,squirrel,12,12,few,1.0
81,streetcar,11,11,few,1.0
82,sunflower,11,11,few,1.0
83,sweet_pepper,10,10,few,1.0
84,table,10,10,few,1.0
85,tank,9,9,few,1.0
86,telephone,9,9,few,1.0
87,television,8,8,few,1.0
88,tiger,8,8,few,1.0
89,tractor,7,7,few,1.0
90,train,7,7,few,1.0
91,trout,7,7,few,1.0
92,tulip,6,6,few,1.0
93,turtle,6,6,few,1.0
94,wardrobe,6,6,few,1.0
95,whale,6,6,few,1.0
96,willow_tree,5,5,few,1.0
97,wolf,5,5,few,1.0
98,woman,5,5,few,1.0
99,worm,5,5,few,1.0
