class_id,class_name,train_count,test_support,group,accuracy
0,apple,500,500,many,0.672
1,aquarium_fish,477,477,many,0.1320754716981132
2,baby,455,455,many,0.046153846153846156
3,bear,434,434,many,0.0069124423963133645
4,beaver,415,415,many,0.1614457831325301
5,bed,396,396,many,0.08333333333333333
6,bee,378,378,many,0.037037037037037035
7,beetle,361,361,many,0.0
8,bicycle,344,344,many,0.055232558139534885
9,bottle,328,328,many,0.003048780487804878
10,bowl,314,314,many,0.012738853503184714
11,boy,299,299,many,0.0
12,bridge,286,286,many,0.024475524475524476
13,bus,273,273,many,0.018315018315018316
14,butterfly,260,260,many,0.05
15,camel,248,248,many,0.11693548387096774
16,can,237,237,many,0.0
17,castle,226,226,many,0.5176991150442478
18,caterpillar,216,216,many,0.046296296296296294
19,cattle,206,206,many,0.0
20,chair,197,197,many,0.08629441624365482
21,chimpanzee,188,188,many,0.35106382978723405
22,clock,179,179,many,0.0
23,cloud,171,171,many,0.24561403508771928
24,cockroach,163,163,many,0.12269938650306748
25,couch,156,156,many,0.0
26,crab,149,149,many,0.0
27,crocodile,142,142,many,0.0
28,cup,135,135,many,0.0
29,dinosaur,129,129,many,0.0
30,dolphin,123,123,many,0.6178861788617886
31,elephant,118,118,many,0.0
32,flatfish,112,112,many,0.0
33,forest,107,107,many,0.009345794392523364
34,fox,102,102,many,0.0
35,girl,98,98,medium,0.23469387755102042
36,hamster,93,93,medium,0.0
37,house,89,89,medium,0.07865168539325842
38,kangaroo,85,85,medium,0.0
39,keyboard,81,81,medium,0.0
40,lamp,77,77,medium,0.0
41,lawn_mower,74,74,medium,0.0
42,leopard,70,70,medium,0.0
43,lion,67,67,medium,0.0
44,lizard,64,64,medium,0.0
45,lobster,61,61,medium,0.0
46,man,58,58,medium,0.0
47,maple_tree,56,56,medium,0.0
48,motorcycle,53,53,medium,0.0
49,mountain,51,51,medium,0.09803921568627451
50,mouse,48,48,medium,0.0
51,mushroom,46,46,medium,0.0
52,oak_tree,44,44,medium,0.4318181818181818
53,orange,42,42,medium,0.0
54,orchid,40,40,medium,0.0
55,otter,38,38,medium,0.0
56,palm_tree,36,36,medium,0.0
57,pear,35,35,medium,0.0
58,pickup_truck,33,33,medium,0.0
59,pine_tree,32,32,medium,0.0
60,plain,30,30,medium,0.0
61,plate,29,29,medium,0.0
62,poppy,27,27,medium,0.0
63,porcupine,26,26,medium,0.0
64,possum,25,25,medium,0.0
65,rabbit,24,24,medium,0.0
66,raccoon,23,23,medium,0.0
67,ray,22,22,medium,0.0
68,road,21,21,medium,0.0
69,rocket,20,20,medium,0.0
70,rose,19,19,few,0.0
71,sea,18,18,few,0.0
72,seal,17,17,few,0.0
73,shark,16,16,few,0.0625
74,shrew,15,15,few,0.0
75,skunk,15,15,few,0.0
76,skyscraper,14,14,few,0.0
77,snail,13,13,few,0.0
78,snake,13,13,few,0.0
79,spider,12,12,few,0.0
80,squirrel,12,12,few,0.0
81,streetcar,11,11,few,0.0
82,sunflower,11,11,few,0.0
83,sweet_pepper,10,10,few,0.0
84,table,10,10,few,0.0
85,tank,9,9,few,0.0
86,telephone,9,9,few,0.0
87,television,8,8,few,0.0
88,tiger,8,8,few,0.0
89,tractor,7,7,few,0.0
90,train,7,7,few,0.0
91,trout,7,7,few,0.0
92,tulip,6,6,few,0.0
93,turtle,6,6,few,0.0
94,wardrobe,6,6,few,0.0
95,whale,6,6,few,0.0
96,willow_tree,5,5,few,0.0
97,wolf,5,5,few,0.0
98,woman,5,5,few,0.0
99,worm,5,5,few,0.0
