method,split,source,dataset,imbalance_type,imbalance_ratio,loss,top1,top5,macro_f1,weighted_f1,balanced_acc,many_acc,medium_acc,few_acc,ece
balanced_softmax_resnet32,train,results/balanced_softmax_resnet32_ir100/metrics.json,cifar100,exp,100,balanced_softmax,94.321010417627,99.59435788697336,86.03131094107117,94.7632165185662,95.90314083628351,94.1097014233408,96.26261773274737,97.57609710550888,7.966881818954305
balanced_softmax_resnet32,balanced_test,results/balanced_softmax_resnet32_ir100/metrics.json,cifar100,exp,100,balanced_softmax,44.89,74.03999999999999,43.9261678030319,43.926167803031916,44.89,60.37142857142857,44.51428571428571,27.266666666666666,22.406308112519724
balanced_softmax_resnet32,imbalanced_test,results/balanced_softmax_resnet32_ir100/metrics.json,cifar100,exp,100,balanced_softmax,58.04786485218207,80.52557484748945,38.39136684772403,62.236698212931586,44.438525349148634,59.254034341662134,42.95127617971492,28.888888888888886,15.944197477166469
ce_resnet32,train,results/ce_resnet32_ir100/metrics.json,cifar100,exp,100,cross_entropy,97.7044344058265,99.90780861067576,95.14244142490143,97.67704821369814,93.56582330642601,98.21603440934808,95.34481339941814,86.06508857785948,5.0551583624220715
ce_resnet32,balanced_test,results/ce_resnet32_ir100/metrics.json,cifar100,exp,100,cross_entropy,40.660000000000004,69.94,36.20220582427875,36.20220582427875,40.660000000000004,67.74285714285716,40.17142857142858,9.633333333333331,32.56623016334156
ce_resnet32,imbalanced_test,results/ce_resnet32_ir100/metrics.json,cifar100,exp,100,cross_entropy,64.71140309713749,86.48521820741436,39.14164489268436,64.12317126980031,39.28566273131813,66.48257528407193,39.571699186360846,7.222222222222221,16.235217945211573
class_balanced_focal_resnet32,train,results/class_balanced_focal_resnet32_ir100/metrics.json,cifar100,exp,100,class_balanced_focal,17.304323776159304,41.57831658523094,21.2299255121812,10.425557006606965,59.229334591307335,8.59280433171581,74.91958021487658,100.0,11.506730630241565
class_balanced_focal_resnet32,balanced_test,results/class_balanced_focal_resnet32_ir100/metrics.json,cifar100,exp,100,class_balanced_focal,21.55,47.15,18.54877216308355,18.548772163083555,21.55,8.571428571428571,36.6,19.133333333333333,13.386143525141254
class_balanced_focal_resnet32,imbalanced_test,results/class_balanced_focal_resnet32_ir100/metrics.json,cifar100,exp,100,class_balanced_focal,10.089160018770531,35.42937587986861,9.62238574167867,7.881680078871753,19.61418281624484,9.32203628723782,33.38515271155696,15.555555555555554,19.959537217971754
HOG+PCA+LinearSVM,train,results/exp_ir100/classical_hog_svm/metrics.json,cifar100,exp,100,,41.034387388217944,67.7698902922467,52.20510410110493,40.57998056596552,65.38830326506097,36.855641640561224,68.90035062421246,94.57901990796728,58.62015191149056
HOG+PCA+LinearSVM,balanced_test,results/exp_ir100/classical_hog_svm/metrics.json,cifar100,exp,100,,12.629999999999999,30.620000000000005,10.936148867903892,10.936148867903892,12.629999999999999,22.742857142857144,11.942857142857143,1.633333333333333,87.17595472647392
HOG+PCA+LinearSVM,imbalanced_test,results/exp_ir100/classical_hog_svm/metrics.json,cifar100,exp,100,,20.45987799155326,46.879399343031444,10.49988659965705,22.385730443685404,11.026334785458173,21.376162968240404,10.127650704497231,0.0,79.40898095230392
ldam_drw_resnet32,train,results/ldam_drw_resnet32_ir100/metrics.json,cifar100,exp,100,ldam,2.8948096247810455,12.104729418272333,0.05626735955559538,0.16288329400255322,1.0,2.857142857142857,0.0,0.0,26.344334586843786
ldam_drw_resnet32,balanced_test,results/ldam_drw_resnet32_ir100/metrics.json,cifar100,exp,100,ldam,1.0,5.0,0.019801980198019802,0.019801980198019802,1.0,2.857142857142857,0.0,0.0,28.239144211624833
ldam_drw_resnet32,imbalanced_test,results/ldam_drw_resnet32_ir100/metrics.json,cifar100,exp,100,ldam,2.9094321914594086,12.200844673862036,0.05654354765161878,0.16450961775693876,1.0,2.857142857142857,0.0,0.0,26.329712020165424
ldam_drw_resnet32_s0_5_short,train,results/ldam_drw_resnet32_ir100_s0_5_short/metrics.json,cifar100,exp,100,ldam,65.26228450262745,89.32423711625334,42.5985202556551,64.62173215939846,45.6336469229367,68.06358618782818,47.36798237048163,17.441993091760896,10.992355447411912
ldam_drw_resnet32_s0_5_short,balanced_test,results/ldam_drw_resnet32_ir100_s0_5_short/metrics.json,cifar100,exp,100,ldam,34.5,63.190000000000005,29.307065576592933,29.307065576592933,34.5,55.285714285714285,35.400000000000006,9.200000000000001,36.63111511766847
ldam_drw_resnet32_s0_5_short,imbalanced_test,results/ldam_drw_resnet32_ir100_s0_5_short/metrics.json,cifar100,exp,100,ldam,52.27592679493196,81.55795401220084,31.243534640830354,52.192018235088575,34.25289258635717,53.86639382268803,34.95139451928483,10.555555555555555,24.15225676587062
ldam_drw_resnet32_s1,train,results/ldam_drw_resnet32_ir100_s1/metrics.json,cifar100,exp,100,ldam,96.98534156909744,99.92624688854062,94.14574934442071,97.04286793016075,98.11084683335223,96.90804842078872,97.93246634117001,99.72222222222221,5.056118931538052
ldam_drw_resnet32_s1,balanced_test,results/ldam_drw_resnet32_ir100_s1/metrics.json,cifar100,exp,100,ldam,44.6,73.42999999999999,42.27612654633149,42.27612654633149,44.6,65.45714285714284,44.94285714285714,19.866666666666664,28.728023554014577
ldam_drw_resnet32_s1,imbalanced_test,results/ldam_drw_resnet32_ir100_s1/metrics.json,cifar100,exp,100,ldam,63.11590802440169,84.37353355232285,41.87889587754964,64.92978036527963,43.3250918912385,64.40260835774197,44.62146371246327,17.222222222222218,16.15256361319179
ldam_drw_resnet32_s10_short,train,results/ldam_drw_resnet32_ir100_s10_short/metrics.json,cifar100,exp,100,ldam,2.0835253987277587,18.18014197473956,0.040820012643366745,0.08504953311884286,1.0,2.857142857142857,0.0,0.0,0.6594707501873656
ldam_drw_resnet32_s10_short,balanced_test,results/ldam_drw_resnet32_ir100_s10_short/metrics.json,cifar100,exp,100,ldam,1.0,5.0,0.019801980198019802,0.019801980198019802,1.0,2.857142857142857,0.0,0.0,0.42405335341531103
ldam_drw_resnet32_s10_short,imbalanced_test,results/ldam_drw_resnet32_ir100_s10_short/metrics.json,cifar100,exp,100,ldam,2.1116846550915063,18.442045987799155,0.04136029411764706,0.08733989841830678,1.0,2.857142857142857,0.0,0.0,0.6876313016761955
ldam_drw_resnet32_s1_short,train,results/ldam_drw_resnet32_ir100_s1_short/metrics.json,cifar100,exp,100,ldam,65.97215820042408,89.66534525675301,46.94667473735283,66.03340970203017,50.77939155434713,68.05742179098483,53.60768748888033,27.32201102131443,10.823457662599353
ldam_drw_resnet32_s1_short,balanced_test,results/ldam_drw_resnet32_ir100_s1_short/metrics.json,cifar100,exp,100,ldam,35.9,64.60000000000001,31.340016807274484,31.34001680727449,35.900000000000006,55.94285714285715,37.42857142857143,10.733333333333333,12.97319696441723
ldam_drw_resnet32_s1_short,imbalanced_test,results/ldam_drw_resnet32_ir100_s1_short/metrics.json,cifar100,exp,100,ldam,53.965274519005156,80.61942749882685,33.3376164464425,54.68958273596727,37.25325219108544,54.900060427660065,38.680660118298334,15.0,4.291412342640541
ldam_drw_resnet32_s2_short,train,results/ldam_drw_resnet32_ir100_s2_short/metrics.json,cifar100,exp,100,ldam,61.943394486954915,87.30524569005254,44.02935711929264,62.29851444391493,49.44596464621475,64.38678717350845,50.0340246754837,31.32893499689165,37.01468542648538
ldam_drw_resnet32_s2_short,balanced_test,results/ldam_drw_resnet32_ir100_s2_short/metrics.json,cifar100,exp,100,ldam,34.94,64.21,30.68992106813433,30.68992106813434,34.93999999999999,52.19999999999999,37.0,12.399999999999997,12.115566509865843
ldam_drw_resnet32_s2_short,imbalanced_test,results/ldam_drw_resnet32_ir100_s2_short/metrics.json,cifar100,exp,100,ldam,49.74190520882215,77.14687939934302,29.904402208314657,51.18389673888116,34.57646523263193,50.65323593865693,36.23190282124382,13.888888888888888,22.211588367551
ldam_drw_resnet32_s30_short,train,results/ldam_drw_resnet32_ir100_s30_short/metrics.json,cifar100,exp,100,ldam,1.6594450078362681,5.706646999170277,0.03925789157291654,0.07144957651447435,1.0034965034965035,2.867132867132867,0.0,0.0,20.511442795281006
ldam_drw_resnet32_s30_short,balanced_test,results/ldam_drw_resnet32_ir100_s30_short/metrics.json,cifar100,exp,100,ldam,1.01,5.0,0.036001846248525565,0.036001846248525565,1.01,2.885714285714286,0.0,0.0,21.232742071660574
ldam_drw_resnet32_s30_short,imbalanced_test,results/ldam_drw_resnet32_ir100_s30_short/metrics.json,cifar100,exp,100,ldam,1.642421398404505,5.678085405912717,0.032407407407407406,0.05322661939273859,1.0,2.857142857142857,0.0,0.0,20.57327228170139
ldam_drw_resnet32_s5_short,train,results/ldam_drw_resnet32_ir100_s5_short/metrics.json,cifar100,exp,100,ldam,9.394302572139763,28.27509910574352,2.263526928179493,5.678765338865009,4.322306145208476,9.761723385027828,2.4091513155678146,0.20833333333333334,7.928468840878016
ldam_drw_resnet32_s5_short,balanced_test,results/ldam_drw_resnet32_ir100_s5_short/metrics.json,cifar100,exp,100,ldam,4.44,16.0,1.4454358973247174,1.4454358973247177,4.44,10.028571428571428,2.6285714285714286,0.03333333333333333,2.911117590270425
ldam_drw_resnet32_s5_short,imbalanced_test,results/ldam_drw_resnet32_ir100_s5_short/metrics.json,cifar100,exp,100,ldam,9.666823087752228,28.202721726888786,2.3669806738615837,5.924369900762337,4.477713020724173,9.613678068942129,3.179787704555506,0.0,8.170613304889757
logit_adjusted_resnet32,train,results/logit_adjusted_resnet32_ir100/metrics.json,cifar100,exp,100,logit_adjusted_ce,94.321010417627,99.59435788697336,86.03131094107117,94.7632165185662,95.90314083628351,94.1097014233408,96.26261773274737,97.57609710550888,7.966881818954305
logit_adjusted_resnet32,balanced_test,results/logit_adjusted_resnet32_ir100/metrics.json,cifar100,exp,100,logit_adjusted_ce,44.89,74.03999999999999,43.9261678030319,43.926167803031916,44.89,60.37142857142857,44.51428571428571,27.266666666666666,22.406308112519724
logit_adjusted_resnet32,imbalanced_test,results/logit_adjusted_resnet32_ir100/metrics.json,cifar100,exp,100,logit_adjusted_ce,58.04786485218207,80.52557484748945,38.39136684772403,62.236698212931586,44.438525349148634,59.254034341662134,42.95127617971492,28.888888888888886,15.944197477166469
